Fibonacci Sequence Num,Time Elapsed,Fibonacci Number
1,0,1
2,0,2
3,0,3
4,0,5
5,0,8
6,0,13
7,0,21
8,0,34
9,0,55
10,0,89
11,0,144
12,0,233
13,0,377
14,0,610
15,0,987
16,0,1597
17,0,2584
18,0,4181
19,0,6765
20,0,10946
21,0,17711
22,0,28657
23,0,46368
24,0,75025
25,0,121393
26,0,196418
27,0,317811
28,0,514229
29,0,832040
30,0,1346269
31,0,2178309
32,0,3524578
33,0,5702887
34,0,9227465
35,0,14930352
36,0,24157817
37,0,39088169
38,0,63245986
39,0,102334155
40,0,165580141
41,0,267914296
42,0,433494437
43,0,701408733
44,0,1134903170
45,0,1836311903
46,0,2971215073
47,0,4807526976
48,0,7778742049
49,0,12586269025
50,0,20365011074
51,0,32951280099
52,0,53316291173
53,0,86267571272
54,0,139583862445
55,0,225851433717
56,0,365435296162
57,0,591286729879
58,0,956722026041
59,0,1548008755920
60,0,2504730781961
61,0,4052739537881
62,0,6557470319842
63,0,10610209857723
64,0,17167680177565
65,0,27777890035288
66,0,44945570212853
67,0,72723460248141
68,0,117669030460994
69,0,190392490709135
70,0,308061521170129
71,0,498454011879264
72,0,806515533049393
73,0,1304969544928657
74,0,2111485077978050
75,0,3416454622906707
76,0,5527939700884757
77,0,8944394323791464
78,0,14472334024676220
79,0,23416728348467684
80,0,37889062373143900
81,0,61305790721611580
82,0,99194853094755490
83,0,160500643816367070
84,0,259695496911122560
85,0,420196140727489660
86,0,679891637638612200
87,0,1100087778366101900
88,0,1779979416004714000
89,0,2880067194370816000
90,0,4660046610375530000
91,0,7540113804746346000
92,0,12200160415121877000
93,0,19740274219868226000
94,0,31940434634990100000
95,0,51680708854858330000
96,0,83621143489848430000
97,0,135301852344706760000
98,0,218922995834555200000
99,0,354224848179262000000
100,0,573147844013817200000
,,
Total Time,0,
